AdjustedTime,DeviceTimeStamp,SystemTimeStamp,Pose_Position,Pose_Rotation,Pose_Valid,LeftGazeDirection,LeftGazeDirectionValid,LeftGazeOrigin,LeftGazeOriginValid,LeftPupilDiameter,LeftPupilDiameterValid,LeftGazeRayWorldOrigin,LeftGazeRayWorldDirection,LeftGazeRayWorldValid,RightGazeDirection,RightGazeDirectionValid,RightGazeOrigin,RightGazeOriginValid,RightPupilDiameter,RightPupilDiameterValid,RightGazeRayWorldOrigin,RightGazeRayWorldDirection,RightGazeRayWorldValid,CombinedGazeRayWorldOrigin,CombinedGazeRayWorldDirection,CombinedGazeRayWorldValid,OriginalLeftGazeDirection,OriginalLeftGazeDirectionValid,OriginalLeftGazeOriginPositionInHMD,OriginalLeftGazeOriginPositionInHMDValid,OriginalLeftPupilDiameter,OriginalLeftPupilDiameterValid,OriginalLeftPupilPositionInTrackingArea,OriginalLeftPupilPositionInTrackingAreaValid,OriginalRightGazeDirection,OriginalRightGazeDirectionValid,OriginalRightGazeOriginPositionInHMD,OriginalRightGazeOriginPositionInHMDValid,OriginalRightPupilDiameter,OriginalRightPupilDiameterValid,OriginalRightPupilPositionInTrackingArea,OriginalRightPupilPositionInTrackingAreaValid
0.0,312143022,1057521168764,"(-0.46132390, 3.10259800, -11.83205000)","(0.02557792, 0.17614770, -0.00834466, -0.98399600)",True,"(NaN, NaN, NaN)",False,"(NaN, NaN, NaN)",False,NaN,False,"(NaN, NaN, NaN)","(0.00000000, 0.00000000, 0.00000000)",False,"(-0.17590330, 0.28056340, 0.94357300)",True,"(0.02849771, -0.00022903, -0.03145880)",True,"0,00336421",True,"(-0.42367810, 3.10160300, -11.85163000)","(-0.49454450, 0.32040820, 0.80793830)",True,"(NaN, NaN, NaN)","(0.00000000, 0.00000000, 0.00000000)",False,"(NaN, NaN, NaN)",Invalid,"(NaN, NaN, NaN)",Invalid,NaN,Invalid,"(NaN, NaN)",Invalid,"(0,17590330, 0,28056340, 0,94357300)",Valid,"(-28,49771000, -0,22903440, -31,45880000)",Valid,"3,36421200",Valid,"(0,38002600, 0,53653370)",Valid
0.008331,312151353,1057521177095,"(-0.46149350, 3.10254000, -11.83204000)","(0.02533371, 0.17564950, -0.00850408, -0.98409000)",True,"(-0.05313110, 0.30839540, 0.94976810)",True,"(-0.03071759, 0.00081609, -0.03252035)",True,"0,00319360",True,"(-0.47906090, 3.10104300, -11.87316000)","(-0.38101740, 0.35111380, 0.85530390)",True,"(-0.18086240, 0.28500370, 0.94129940)",True,"(0.02850264, -0.00026471, -0.03143626)",True,"0,00337351",True,"(-0.42387030, 3.10153300, -11.85164000)","(-0.49773620, 0.32408490, 0.80450460)",True,"(-0.45146560, 3.10128900, -11.86240000)","(-0.44030980, 0.33831630, 0.83166660)",True,"(0,05313110, 0,30839540, 0,94976810)",Valid,"(30,71759000, 0,81608580, -32,52036000)",Valid,"3,19360400",Valid,"(0,54423420, 0,49894690)",Valid,"(0,18086240, 0,28500370, 0,94129940)",Valid,"(-28,50264000, -0,26470950, -31,43626000)",Valid,"3,37350500",Valid,"(0,37894250, 0,53688690)",Valid
0.016663,312159685,1057521185427,"(-0.46116800, 3.10251500, -11.83196000)","(0.02522434, 0.17521640, -0.00863876, -0.98416890)",True,"(-0.04920959, 0.31173710, 0.94888310)",True,"(-0.03073000, 0.00080081, -0.03252228)",True,"0,00311208",True,"(-0.47878240, 3.10100400, -11.87307000)","(-0.37639860, 0.35426500, 0.85604930)",True,"(-0.18159480, 0.28871150, 0.94001770)",True,"(0.02849388, -0.00030106, -0.03141713)",True,"0,00330942",True,"(-0.42357640, 3.10148600, -11.85158000)","(-0.49739130, 0.32744010, 0.80335850)",True,"(-0.45117940, 3.10124500, -11.86233000)","(-0.43788850, 0.34162790, 0.83159130)",True,"(0,04920959, 0,31173710, 0,94888310)",Valid,"(30,73000000, 0,80081180, -32,52228000)",Valid,"3,11207600",Valid,"(0,54446760, 0,49915110)",Valid,"(0,18159480, 0,28871150, 0,94001770)",Valid,"(-28,49388000, -0,30105590, -31,41713000)",Valid,"3,30941800",Valid,"(0,37841650, 0,53724770)",Valid
0.024994,312168016,1057521193758,"(-0.46084250, 3.10249000, -11.83189000)","(0.02511499, 0.17478320, -0.00877342, -0.98424750)",True,"(-0.06007385, 0.31626890, 0.94676210)",True,"(-0.03073335, 0.00078502, -0.03253113)",True,"0,00306206",True,"(-0.47849310, 3.10096500, -11.87299000)","(-0.38524100, 0.35816060, 0.85047660)",True,"(-0.18385310, 0.29460140, 0.93775940)",True,"(0.02848639, -0.00033014, -0.03140677)",True,"0,00337955",True,"(-0.42327850, 3.10144600, -11.85153000)","(-0.49815570, 0.33288330, 0.80064330)",True,"(-0.45088580, 3.10120600, -11.86226000)","(-0.44257720, 0.34620960, 0.82720280)",True,"(0,06007385, 0,31626890, 0,94676210)",Valid,"(30,73335000, 0,78501890, -32,53113000)",Valid,"3,06205700",Valid,"(0,54249220, 0,49894740)",Valid,"(0,18385310, 0,29460140, 0,93775940)",Valid,"(-28,48639000, -0,33013920, -31,40677000)",Valid,"3,37954700",Valid,"(0,37783810, 0,53722880)",Valid
0.033326,312176348,1057521202090,"(-0.46051700, 3.10246500, -11.83181000)","(0.02500561, 0.17435000, -0.00890810, -0.98432590)",True,"(-0.06103516, 0.31372070, 0.94754030)",True,"(-0.03073976, 0.00075304, -0.03251471)",True,"0,00314526",True,"(-0.47821500, 3.10091000, -11.87288000)","(-0.38573570, 0.35538150, 0.85141770)",True,"(-0.18495180, 0.30131530, 0.93540950)",True,"(0.02847574, -0.00035121, -0.03140682)",True,"0,00331029",True,"(-0.42298000, 3.10141300, -11.85149000)","(-0.49781920, 0.33917840, 0.79820670)",True,"(-0.45059750, 3.10116200, -11.86218000)","(-0.44264470, 0.34796150, 0.82643120)",True,"(0,06103516, 0,31372070, 0,94754030)",Valid,"(30,73976000, 0,75303650, -32,51471000)",Valid,"3,14526400",Valid,"(0,54201070, 0,50047210)",Valid,"(0,18495180, 0,30131530, 0,93540950)",Valid,"(-28,47574000, -0,35121150, -31,40681000)",Valid,"3,31028700",Valid,"(0,37716890, 0,53672610)",Valid
0.041657,312184679,1057521210421,"(-0.46019150, 3.10244000, -11.83173000)","(0.02489624, 0.17391680, -0.00904276, -0.98440410)",True,"(-0.05488586, 0.31213380, 0.94844060)",True,"(-0.03075348, 0.00072403, -0.03250072)",True,"0,00316536",True,"(-0.47794310, 3.10085800, -11.87278000)","(-0.37959590, 0.35375250, 0.85484860)",True,"(-0.18849180, 0.29711910, 0.93603520)",True,"(0.02846072, -0.00038121, -0.03137657)",True,"0,00329396",True,"(-0.42269600, 3.10137300, -11.85142000)","(-0.50071050, 0.33465550, 0.79830740)",True,"(-0.45031950, 3.10111600, -11.86210000)","(-0.44115960, 0.34499100, 0.82846810)",True,"(0,05488586, 0,31213380, 0,94844060)",Valid,"(30,75348000, 0,72402950, -32,50072000)",Valid,"3,16535900",Valid,"(0,54258510, 0,50163190)",Valid,"(0,18849180, 0,29711910, 0,93603520)",Valid,"(-28,46072000, -0,38121030, -31,37657000)",Valid,"3,29396100",Valid,"(0,37598040, 0,53818180)",Valid
0.049989,312193011,1057521218753,"(-0.45986600, 3.10241500, -11.83165000)","(0.02478685, 0.17348340, -0.00917744, -0.98448200)",True,"(-0.06291199, 0.31394960, 0.94734190)",True,"(-0.03077411, 0.00069998, -0.03250108)",True,"0,00323407",True,"(-0.47767260, 3.10081000, -11.87269000)","(-0.38611820, 0.35505460, 0.85138060)",True,"(-0.18927000, 0.29850770, 0.93544010)",True,"(0.02843488, -0.00039709, -0.03136623)",True,"0,00333647",True,"(-0.42241530, 3.10134600, -11.85137000)","(-0.50063340, 0.33572130, 0.79790810)",True,"(-0.45004400, 3.10107800, -11.86203000)","(-0.44428460, 0.34609590, 0.82633460)",True,"(0,06291199, 0,31394960, 0,94734190)",Valid,"(30,77411000, 0,69998170, -32,50108000)",Valid,"3,23407000",Valid,"(0,54039740, 0,50229530)",Valid,"(0,18927000, 0,29850770, 0,93544010)",Valid,"(-28,43488000, -0,39709470, -31,36623000)",Valid,"3,33647200",Valid,"(0,37499820, 0,53844130)",Valid
0.05832,312201342,1057521227084,"(-0.45954060, 3.10239000, -11.83157000)","(0.02467747, 0.17305010, -0.00931209, -0.98455980)",True,"(-0.06101990, 0.31460570, 0.94725040)",True,"(-0.03079552, 0.00067957, -0.03249916)",True,"0,00316325",True,"(-0.47740380, 3.10076600, -11.87260000)","(-0.38365670, 0.35550760, 0.85230390)",True,"(-0.17027280, 0.29960630, 0.93873600)",True,"(0.02830333, -0.00042006, -0.03135539)",True,"0,00328244",True,"(-0.42223420, 3.10130800, -11.85136000)","(-0.48329620, 0.33720640, 0.80790880)",True,"(-0.44981900, 3.10103700, -11.86198000)","(-0.43414080, 0.34688790, 0.83137880)",True,"(0,06101990, 0,31460570, 0,94725040)",Valid,"(30,79552000, 0,67956540, -32,49916000)",Valid,"3,16325400",Valid,"(0,54004620, 0,50273370)",Valid,"(0,17027280, 0,29960630, 0,93873600)",Valid,"(-28,30333000, -0,42005920, -31,35539000)",Valid,"3,28244000",Valid,"(0,37384100, 0,53878740)",Valid
0.066652,312209674,1057521235416,"(-0.45921510, 3.10236400, -11.83149000)","(0.02456807, 0.17261670, -0.00944676, -0.98463730)",True,"(-0.06515503, 0.31076050, 0.94824220)",True,"(-0.03081309, 0.00065852, -0.03248782)",True,"0,00322006",True,"(-0.47713440, 3.10072200, -11.87250000)","(-0.38718560, 0.35135320, 0.85243080)",True,"(-0.11965940, 0.07138062, 0.99023440)",True,"(0.02798471, 0.00062466, -0.03101233)",True,"0,00322745",True,"(-0.42235300, 3.10234700, -11.85115000)","(-0.45030440, 0.11272130, 0.88573120)",True,"(-0.44974370, 3.10153400, -11.86183000)","(-0.42203060, 0.23385790, 0.87589990)",True,"(0,06515503, 0,31076050, 0,94824220)",Valid,"(30,81310000, 0,65852360, -32,48782000)",Valid,"3,22006200",Valid,"(0,53864380, 0,50409530)",Valid,"(0,11965940, 0,07138062, 0,99023440)",Valid,"(-27,98471000, 0,62466430, -31,01233000)",Valid,"3,22744800",Valid,"(0,37230610, 0,53892800)",Valid
0.074983,312218005,1057521243747,"(-0.45888960, 3.10233900, -11.83142000)","(0.02445868, 0.17218340, -0.00958141, -0.98471460)",True,"(-0.06256104, 0.30702210, 0.94963070)",True,"(-0.03082365, 0.00064433, -0.03247612)",True,"0,00323935",True,"(-0.47685870, 3.10068400, -11.87240000)","(-0.38452000, 0.34750530, 0.85521020)",True,"(-0.18740840, 0.29797360, 0.93598940)",True,"(0.02834769, -0.00046840, -0.03131432)",True,"0,00334451",True,"(-0.42158970, 3.10124000, -11.85121000)","(-0.49721360, 0.33444780, 0.80057690)",True,"(-0.44922420, 3.10096200, -11.86180000)","(-0.44174330, 0.34165430, 0.82953910)",True,"(0,06256104, 0,30702210, 0,94963070)",Valid,"(30,82365000, 0,64433290, -32,47612000)",Valid,"3,23934900",Valid,"(0,53869990, 0,50513340)",Valid,"(0,18740840, 0,29797360, 0,93598940)",Valid,"(-28,34769000, -0,46839900, -31,31432000)",Valid,"3,34451300",Valid,"(0,37233410, 0,54048120)",Valid
0.083315,312226337,1057521252079,"(-0.45856410, 3.10231400, -11.83134000)","(0.02434926, 0.17174990, -0.00971608, -0.98479170)",True,"(-0.01457214, 0.32618710, 0.94517520)",True,"(-0.03108543, 0.00056253, -0.03248314)",True,"0,00331523",True,"(-0.47681220, 3.10057100, -11.87239000)","(-0.33740630, 0.36751830, 0.86665300)",True,"(-0.18785100, 0.30056760, 0.93507390)",True,"(0.02833659, -0.00047716, -0.03131418)",True,"0,00331635",True,"(-0.42129190, 3.10121900, -11.85117000)","(-0.49672820, 0.33671320, 0.79992840)",True,"(-0.44905200, 3.10089500, -11.86178000)","(-0.41868190, 0.35347850, 0.83651560)",True,"(0,01457214, 0,32618710, 0,94517520)",Valid,"(31,08543000, 0,56253050, -32,48314000)",Valid,"3,31523100",Valid,"(0,53802190, 0,50486370)",Valid,"(0,18785100, 0,30056760, 0,93507390)",Valid,"(-28,33659000, -0,47715760, -31,31418000)",Valid,"3,31634500",Valid,"(0,37182330, 0,54030310)",Valid
0.091646,312234668,1057521260410,"(-0.45823870, 3.10228900, -11.83126000)","(0.02423986, 0.17131640, -0.00985072, -0.98486850)",True,"(-0.01499939, 0.32743840, 0.94474790)",True,"(-0.03108611, 0.00056085, -0.03248494)",True,"0,00326332",True,"(-0.47652270, 3.10054600, -11.87230000)","(-0.33700650, 0.36849570, 0.86639340)",True,"(-0.17642210, 0.29881290, 0.93785100)",True,"(0.02827637, -0.00048109, -0.03130899)",True,"0,00331044",True,"(-0.42104210, 3.10120300, -11.85114000)","(-0.48627780, 0.33513230, 0.80698220)",True,"(-0.44878240, 3.10087500, -11.86172000)","(-0.41303440, 0.35300410, 0.83951810)",True,"(0,01499939, 0,32743840, 0,94474790)",Valid,"(31,08611000, 0,56085210, -32,48494000)",Valid,"3,26332100",Valid,"(0,53797570, 0,50463350)",Valid,"(0,17642210, 0,29881290, 0,93785100)",Valid,"(-28,27637000, -0,48109440, -31,30899000)",Valid,"3,31044000",Valid,"(0,37182210, 0,54063330)",Valid
0.099978,312243000,1057521268742,"(-0.45791320, 3.10226400, -11.83118000)","(0.02413044, 0.17088290, -0.00998538, -0.98494520)",True,"(-0.01567078, 0.32574460, 0.94531250)",True,"(-0.03108543, 0.00055917, -0.03248366)",True,"0,00320888",True,"(-0.47623300, 3.10052100, -11.87221000)","(-0.33714560, 0.36657700, 0.86715290)",True,"(-0.11677550, 0.07003784, 0.99067690)",True,"(0.02795686, 0.00055507, -0.03095490)",True,"0,00317897",True,"(-0.42116600, 3.10223300, -11.85092000)","(-0.44469590, 0.11039350, 0.88885250)",True,"(-0.44869950, 3.10137700, -11.86156000)","(-0.39477230, 0.24083450, 0.88665300)",True,"(0,01567078, 0,32574460, 0,94531250)",Valid,"(31,08543000, 0,55917360, -32,48366000)",Valid,"3,20887800",Valid,"(0,53792950, 0,50486370)",Valid,"(0,11677550, 0,07003784, 0,99067690)",Valid,"(-27,95686000, 0,55506900, -30,95490000)",Valid,"3,17897000",Valid,"(0,37182330, 0,54096340)",Valid
0.108309,312251331,1057521277073,"(-0.45758770, 3.10223900, -11.83110000)","(0.02402103, 0.17044930, -0.01012002, -0.98502170)",True,"(-0.01542664, 0.32572940, 0.94532780)",True,"(-0.03108537, 0.00055666, -0.03248340)",True,"0,00320584",True,"(-0.47594350, 3.10049500, -11.87211000)","(-0.33625050, 0.36633010, 0.86760470)",True,"(-0.14089970, 0.18449400, 0.97267150)",True,"(0.02808559, 0.00001749, -0.03111865)",True,"0,00324461",True,"(-0.42067550, 3.10168100, -11.85096000)","(-0.46194440, 0.22295620, 0.85842760)",True,"(-0.44830950, 3.10108800, -11.86154000)","(-0.40092780, 0.29599450, 0.86697420)",True,"(0,01542664, 0,32572940, 0,94532780)",Valid,"(31,08537000, 0,55665590, -32,48340000)",Valid,"3,20584100",Valid,"(0,53797570, 0,50494740)",Valid,"(0,14089970, 0,18449400, 0,97267150)",Valid,"(-28,08559000, 0,01748657, -31,11865000)",Valid,"3,24461400",Valid,"(0,37182920, 0,54111830)",Valid
0.116641,312259663,1057521285405,"(-0.45725310, 3.10227000, -11.83105000)","(0.02416480, 0.16985940, -0.01013477, -0.98511980)",True,"(-0.01519775, 0.32566830, 0.94535830)",True,"(-0.03108531, 0.00055414, -0.03248314)",True,"0,00320302",True,"(-0.47565790, 3.10051300, -11.87203000)","(-0.33498840, 0.36654820, 0.86800060)",True,"(-0.16467290, 0.30645750, 0.93751530)",True,"(0.02822469, -0.00051999, -0.03129060)",True,"0,00338797",True,"(-0.42016960, 3.10116400, -11.85104000)","(-0.47295930, 0.34280980, 0.81165940)",True,"(-0.44791380, 3.10083900, -11.86154000)","(-0.40512830, 0.35569310, 0.84223120)",True,"(0,01519775, 0,32566830, 0,94535830)",Valid,"(31,08531000, 0,55413820, -32,48314000)",Valid,"3,20301800",Valid,"(0,53802190, 0,50503120)",Valid,"(0,16467290, 0,30645750, 0,93751530)",Valid,"(-28,22469000, -0,51998900, -31,29060000)",Valid,"3,38797000",Valid,"(0,37229000, 0,54056080)",Valid
0.124973,312267995,1057521293737,"(-0.45691490, 3.10232400, -11.83100000)","(0.02440798, 0.16920800, -0.01010244, -0.98522630)",True,"(-0.01449585, 0.32475280, 0.94567870)",True,"(-0.03108395, 0.00055225, -0.03248306)",True,"0,00320493",True,"(-0.47537260, 3.10054900, -11.87196000)","(-0.33321900, 0.36614350, 0.86885210)",True,"(-0.16552730, 0.30239870, 0.93869020)",True,"(0.02823485, -0.00053162, -0.03127939)",True,"0,00337267",True,"(-0.41985200, 3.10119200, -11.85103000)","(-0.47297840, 0.33925400, 0.81314090)",True,"(-0.44761230, 3.10087000, -11.86150000)","(-0.40428090, 0.35373320, 0.84346300)",True,"(0,01449585, 0,32475280, 0,94567870)",Valid,"(31,08395000, 0,55224610, -32,48306000)",Valid,"3,20492600",Valid,"(0,53818950, 0,50525560)",Valid,"(0,16552730, 0,30239870, 0,93869020)",Valid,"(-28,23485000, -0,53161620, -31,27939000)",Valid,"3,37266500",Valid,"(0,37246610, 0,54153150)",Valid
0.133304,312276326,1057521302068,"(-0.45657680, 3.10237900, -11.83096000)","(0.02465112, 0.16855660, -0.01007010, -0.98533220)",True,"(-0.01380920, 0.32295230, 0.94630430)",True,"(-0.03108260, 0.00055414, -0.03248299)",True,"0,00320058",True,"(-0.47508730, 3.10058900, -11.87189000)","(-0.33155240, 0.36486710, 0.87002590)",True,"(-0.12582400, 0.07492065, 0.98921200)",True,"(0.02800595, 0.00051552, -0.03093750)",True,"0,00316599",True,"(-0.41988200, 3.10228400, -11.85084000)","(-0.44859250, 0.11596960, 0.88618050)",True,"(-0.44748470, 3.10143700, -11.86136000)","(-0.39382730, 0.24273250, 0.88655570)",True,"(0,01380920, 0,32295230, 0,94630430)",Valid,"(31,08260000, 0,55413820, -32,48299000)",Valid,"3,20057700",Valid,"(0,53835710, 0,50548000)",Valid,"(0,12582400, 0,07492065, 0,98921200)",Valid,"(-28,00595000, 0,51551820, -30,93750000)",Valid,"3,16598500",Valid,"(0,37186750, 0,54129430)",Valid
0.141636,312284658,1057521310400,"(-0.45623860, 3.10243300, -11.83091000)","(0.02489427, 0.16790500, -0.01003776, -0.98543770)",True,"(-0.01249695, 0.32382200, 0.94602970)",True,"(-0.03105237, 0.00050294, -0.03246388)",True,"0,00325446",True,"(-0.47478040, 3.10057800, -11.87179000)","(-0.32902360, 0.36623240, 0.87041220)",True,"(-0.16595460, 0.30616760, 0.93739320)",True,"(0.02826050, -0.00056168, -0.03126305)",True,"0,00339269",True,"(-0.41920970, 3.10123900, -11.85101000)","(-0.47073530, 0.34389050, 0.81249460)",True,"(-0.44699500, 3.10090800, -11.86140000)","(-0.40108120, 0.35612860, 0.84398240)",True,"(0,01249695, 0,32382200, 0,94602970)",Valid,"(31,05237000, 0,50294490, -32,46388000)",Valid,"3,25445600",Valid,"(0,53956840, 0,50702770)",Valid,"(0,16595460, 0,30616760, 0,93739320)",Valid,"(-28,26050000, -0,56167600, -31,26305000)",Valid,"3,39268500",Valid,"(0,37331170, 0,54180520)",Valid
0.149967,312292989,1057521318731,"(-0.45590050, 3.10248700, -11.83087000)","(0.02513739, 0.16725340, -0.01000541, -0.98554270)",True,"(-0.08631897, 0.23757930, 0.96751400)",True,"(-0.03066627, 0.00087521, -0.03234210)",True,"0,00320091",True,"(-0.47417630, 3.10100400, -11.87150000)","(-0.40361230, 0.27950660, 0.87119070)",True,"(-0.17031860, 0.30725100, 0.93624880)",True,"(0.02829901, -0.00056604, -0.03126289)",True,"0,00336913",True,"(-0.41886180, 3.10127300, -11.85100000)","(-0.47336270, 0.34527030, 0.81038030)",True,"(-0.44651910, 3.10113900, -11.86125000)","(-0.43919550, 0.31289290, 0.84214330)",True,"(0,08631897, 0,23757930, 0,96751400)",Valid,"(30,66628000, 0,87521360, -32,34210000)",Valid,"3,20091200",Valid,"(0,53983960, 0,50758380)",Valid,"(0,17031860, 0,30725100, 0,93624880)",Valid,"(-28,29901000, -0,56604000, -31,26289000)",Valid,"3,36912500",Valid,"(0,37381520, 0,54175350)",Valid
0.158299,312301321,1057521327063,"(-0.45556240, 3.10254100, -11.83082000)","(0.02538052, 0.16660170, -0.00997306, -0.98564710)",True,"(-0.00579834, 0.32852170, 0.94447330)",True,"(-0.03091220, 0.00049904, -0.03246240)",True,"0,00322745",True,"(-0.47408020, 3.10065400, -11.87160000)","(-0.31982030, 0.37198780, 0.87140120)",True,"(-0.09228516, 0.08450317, 0.99212650)",True,"(0.02812853, 0.00055536, -0.03094638)",True,"0,00314941",True,"(-0.41882800, 3.10244100, -11.85082000)","(-0.41443360, 0.12812620, 0.90101520)",True,"(-0.44645410, 3.10154700, -11.86121000)","(-0.37034880, 0.25225210, 0.89398590)",True,"(0,00579834, 0,32852170, 0,94447330)",Valid,"(30,91220000, 0,49903870, -32,46240000)",Valid,"3,22744800",Valid,"(0,54564520, 0,50633760)",Valid,"(0,09228516, 0,08450317, 0,99212650)",Valid,"(-28,12852000, 0,55535890, -30,94638000)",Valid,"3,14941400",Valid,"(0,38219150, 0,53834380)",Valid
0.16663,312309652,1057521335394,"(-0.45522420, 3.10259500, -11.83078000)","(0.02562361, 0.16594990, -0.00994070, -0.98575110)",True,"(0.01658630, 0.33502200, 0.94204710)",True,"(-0.03077695, 0.00052409, -0.03247272)",True,"0,00322450",True,"(-0.47366510, 3.10072000, -11.87150000)","(-0.29674210, 0.37946940, 0.87632590)",True,"(-0.13011170, 0.32875060, 0.93539430)",True,"(0.02848244, -0.00051172, -0.03130215)",True,"0,00338312",True,"(-0.41805340, 3.10140600, -11.85098000)","(-0.43308360, 0.36877040, 0.82246400)",True,"(-0.44585930, 3.10106300, -11.86124000)","(-0.36590230, 0.37513430, 0.85169810)",True,"(-0,01658630, 0,33502200, 0,94204710)",Valid,"(30,77695000, 0,52409360, -32,47272000)",Valid,"3,22450300",Valid,"(0,55431370, 0,50452640)",Valid,"(0,13011170, 0,32875060, 0,93539430)",Valid,"(-28,48244000, -0,51171880, -31,30215000)",Valid,"3,38311800",Valid,"(0,38755570, 0,53660940)",Valid
0.174962,312317984,1057521343726,"(-0.45488600, 3.10264900, -11.83073000)","(0.02586672, 0.16529800, -0.00990834, -0.98585460)",True,"(-0.02227783, 0.32952880, 0.94387820)",True,"(-0.03044705, 0.00059241, -0.03248812)",True,"0,00316361",True,"(-0.47306460, 3.10083500, -11.87134000)","(-0.33278960, 0.37344650, 0.86590340)",True,"(-0.07348633, 0.09286499, 0.99295040)",True,"(0.02829777, 0.00061520, -0.03095744)",True,"0,00328410",True,"(-0.41804150, 3.10258100, -11.85078000)","(-0.39461220, 0.13804970, 0.90841810)",True,"(-0.44555300, 3.10170800, -11.86106000)","(-0.36650800, 0.25772260, 0.89400830)",True,"(0,02227783, 0,32952880, 0,94387820)",Valid,"(30,44705000, 0,59240720, -32,48811000)",Valid,"3,16360500",Valid,"(0,55897430, 0,50316630)",Valid,"(0,07348633, 0,09286499, 0,99295040)",Valid,"(-28,29778000, 0,61520390, -30,95744000)",Valid,"3,28410300",Valid,"(0,39160580, 0,53511680)",Valid
0.183293,312326315,1057521352057,"(-0.45454790, 3.10270300, -11.83069000)","(0.02610978, 0.16464610, -0.00987597, -0.98595760)",True,"(-0.02500916, 0.33641050, 0.94137570)",True,"(-0.03042209, 0.00057593, -0.03249814)",True,"0,00326865",True,"(-0.47275310, 3.10085700, -11.87127000)","(-0.33343000, 0.38059340, 0.86253880)",True,"(-0.11830140, 0.33561710, 0.93453980)",True,"(0.02852370, -0.00048109, -0.03130908)",True,"0,00335579",True,"(-0.41738980, 3.10151300, -11.85098000)","(-0.41941240, 0.37685000, 0.82587970)",True,"(-0.44507150, 3.10118500, -11.86113000)","(-0.37683380, 0.37913660, 0.84513410)",True,"(0,02500916, 0,33641050, 0,94137570)",Valid,"(30,42209000, 0,57592770, -32,49814000)",Valid,"3,26864600",Valid,"(0,55928550, 0,50288110)",Valid,"(0,11830140, 0,33561710, 0,93453980)",Valid,"(-28,52370000, -0,48109440, -31,30908000)",Valid,"3,35578900",Valid,"(0,39111310, 0,53443170)",Valid
0.191625,312334647,1057521360389,"(-0.45420980, 3.10275700, -11.83064000)","(0.02635286, 0.16399400, -0.00984360, -0.98606010)",True,"(0.02232361, 0.35179140, 0.93580630)",True,"(-0.03068726, 0.00047775, -0.03249848)",True,"0,00316693",True,"(-0.47271820, 3.10078900, -11.87128000)","(-0.28581180, 0.39747660, 0.87196560)",True,"(-0.11619570, 0.33566280, 0.93478390)",True,"(0.02852841, -0.00049402, -0.03130594)",True,"0,00346814",True,"(-0.41707500, 3.10153800, -11.85098000)","(-0.41634880, 0.37743670, 0.82716090)",True,"(-0.44489660, 3.10116400, -11.86113000)","(-0.35193700, 0.38840200, 0.85163620)",True,"(-0,02232361, 0,35179140, 0,93580630)",Valid,"(30,68726000, 0,47775270, -32,49847000)",Valid,"3,16693100",Valid,"(0,55854960, 0,50349070)",Valid,"(0,11619570, 0,33566280, 0,93478390)",Valid,"(-28,52841000, -0,49401860, -31,30594000)",Valid,"3,46814000",Valid,"(0,39179320, 0,53498510)",Valid
0.199956,312342978,1057521368720,"(-0.45387160, 3.10281100, -11.83060000)","(0.02659590, 0.16334200, -0.00981122, -0.98616220)",True,"(0.01852417, 0.35502620, 0.93466190)",True,"(-0.03068535, 0.00045132, -0.03249928)",True,"0,00325743",True,"(-0.47243150, 3.10080100, -11.87121000)","(-0.28785780, 0.40101180, 0.86967090)",True,"(-0.07545471, 0.09692383, 0.99241640)",True,"(0.02831682, 0.00056230, -0.03094368)",True,"0,00321452",True,"(-0.41709220, 3.10264300, -11.85077000)","(-0.39268970, 0.14353100, 0.90840170)",True,"(-0.44476180, 3.10172200, -11.86099000)","(-0.34367520, 0.27499310, 0.89792320)",True,"(-0,01852417, 0,35502620, 0,93466190)",Valid,"(30,68535000, 0,45132450, -32,49928000)",Valid,"3,25743100",Valid,"(0,55785760, 0,50403750)",Valid,"(0,07545471, 0,09692383, 0,99241640)",Valid,"(-28,31682000, 0,56230160, -30,94368000)",Valid,"3,21452300",Valid,"(0,39182670, 0,53602690)",Valid
0.208288,312351310,1057521377052,"(-0.45353350, 3.10286500, -11.83055000)","(0.02683895, 0.16268970, -0.00977884, -0.98626380)",True,"(-0.07324219, 0.08880615, 0.99334720)",True,"(-0.03019373, 0.00165996, -0.03213652)",True,"0,00310024",True,"(-0.47181080, 3.10207700, -11.87071000)","(-0.38958700, 0.13603730, 0.91088740)",True,"(-0.11224370, 0.33506770, 0.93547060)",True,"(0.02853697, -0.00053188, -0.03128929)",True,"0,00336284",True,"(-0.41644950, 3.10157700, -11.85097000)","(-0.41051570, 0.37792830, 0.82984760)",True,"(-0.44413020, 3.10182700, -11.86084000)","(-0.40336840, 0.25911310, 0.87758440)",True,"(0,07324219, 0,08880615, 0,99334720)",Valid,"(30,19373000, 1,65995800, -32,13652000)",Valid,"3,10023500",Valid,"(0,55827390, 0,50386930)",Valid,"(0,11224370, 0,33506770, 0,93547060)",Valid,"(-28,53697000, -0,53187560, -31,28929000)",Valid,"3,36283900",Valid,"(0,39267500, 0,53609320)",Valid
